laptop_timestamp,sniffer_id,esp_timestamp_us,rssi,csi_array,label
2026-05-10 12:09:00.550,4,1378198479,-52,0 0 0 0 0 0 0 0 0 0 0 0 5 -6 4 -3 1 0 -2 2 -6 3 -10 3 -14 4 -17 3 -21 2 -23 1 -25 0 -26 -2 -25 -3 -23 -4 -20 -5 -16 -6 -11 -5 -6 -3 -1 -1 4 1 8 3 12 5 16 8 18 9 21 11 22 11 0 0 21 11 19 10 17 8 14 6 11 3 8 1 4 -2 0 -5 -3 -7 -6 -9 -9 -11 -11 -12 -12 -13 -14 -14 -14 -14 -13 -12 -13 -11 -12 -9 -10 -7 -10 -4 -9 -1 -8 2 -8 5 -8 7 -8 8 -8 8 0 0 0 0 0 0 0 0 0 0,empty
2026-05-10 12:09:00.550,1,5126709061,-54,0 0 -8 -3 -12 -5 -15 -6 -18 -7 -20 -7 -22 -6 -23 -6 -24 -5 -23 -4 -23 -3 -20 -3 -18 -2 -14 -2 -12 -3 -8 -4 -5 -6 -2 -7 0 -9 2 -12 5 -13 6 -15 8 -15 10 -16 11 -15 11 -15 12 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -5 10 -4 9 -4 8 -3 6 -2 5 -1 2 0 0 2 -1 3 -4 5 -5 7 -7 9 -7 11 -7 12 -7 14 -6 16 -5 17 -3 17 -2 17 0 16 1 14 2 13 2 11 1 8 -1 5 -3 2,empty
2026-05-10 12:09:00.550,2,5212516796,-48,0 0 0 0 0 0 0 0 0 0 0 0 -9 1 -9 -1 -9 -3 -8 -5 -8 -8 -9 -9 -10 -11 -10 -12 -12 -13 -13 -13 -14 -13 -14 -12 -15 -11 -14 -10 -13 -9 -12 -9 -10 -8 -9 -9 -7 -10 -7 -11 -7 -13 -7 -14 -8 -15 -10 -15 -11 -15 -12 -14 0 0 -13 -12 -13 -11 -12 -9 -11 -9 -10 -8 -9 -9 -9 -10 -9 -11 -9 -11 -10 -12 -11 -12 -12 -12 -13 -11 -13 -11 -13 -9 -13 -8 -12 -8 -11 -7 -10 -8 -8 -7 -7 -8 -6 -9 -5 -10 -5 -11 -4 -12 -4 -13 0 0 0 0 0 0 0 0 0 0,empty
2026-05-10 12:09:00.550,3,4974482849,-49,0 0 0 0 0 0 0 0 0 0 0 0 -1 -11 0 -12 2 -14 4 -14 5 -14 6 -13 6 -13 6 -11 5 -10 4 -9 2 -8 0 -7 -2 -6 -4 -5 -7 -4 -10 -3 -12 -2 -14 -2 -16 -2 -18 -1 -20 0 -20 -1 -20 -1 -19 -1 -18 -1 -15 -1 0 0 -8 0 -5 2 -1 4 3 6 6 8 9 10 11 13 12 14 13 16 13 17 12 17 11 16 9 14 7 12 6 9 4 5 4 2 3 -2 4 -7 4 -10 6 -13 7 -15 9 -16 11 -17 12 -16 13 -14 0 0 0 0 0 0 0 0 0 0,empty
2026-05-10 12:09:00.550,4,1378248736,-52,0 0 0 0 0 0 0 0 0 0 0 0 6 10 3 8 1 6 0 2 -1 -2 -1 -6 -1 -11 0 -15 2 -18 3 -21 6 -23 8 -24 9 -24 10 -23 10 -20 10 -16 8 -12 5 -7 2 -3 -2 1 -6 5 -9 9 -13 12 -15 14 -18 16 -19 16 0 0 -18 16 -16 15 -14 13 -11 11 -7 8 -3 6 1 3 5 1 8 -2 11 -4 14 -6 15 -7 17 -8 17 -9 16 -9 14 -9 12 -9 9 -8 6 -8 3 -8 -1 -8 -3 -9 -6 -9 -7 -10 -8 -10 -8 -10 0 0 0 0 0 0 0 0 0 0,empty
2026-05-10 12:09:00.550,3,4974482983,-49,0 0 0 0 0 0 0 0 0 0 0 0 -9 8 -11 7 -13 6 -14 5 -15 4 -14 3 -13 3 -12 2 -10 2 -9 2 -6 3 -4 4 -1 5 1 6 3 7 5 9 7 10 9 11 10 12 12 13 13 14 13 14 13 15 12 13 11 12 9 11 0 0 6 5 4 1 2 -3 2 -6 1 -10 0 -14 0 -17 0 -20 1 -22 2 -23 2 -23 3 -22 3 -20 3 -17 2 -15 1 -11 -1 -7 -3 -4 -5 -2 -8 1 -11 3 -14 4 -16 4 -18 4 -20 3 -21 1 0 0 0 0 0 0 0 0 0 0,empty
2026-05-10 12:09:00.550,4,1378248871,-52,0 0 0 0 0 0 0 0 0 0 0 0 4 -8 3 -5 2 -2 -1 1 -4 3 -8 5 -12 6 -15 6 -19 6 -21 6 -23 5 -25 3 -24 2 -23 0 -20 -1 -17 -2 -12 -2 -7 -2 -2 -1 3 0 8 1 13 2 16 4 19 5 21 6 23 6 0 0 22 6 20 5 18 4 14 3 11 1 7 -1 3 -3 -1 -5 -5 -6 -8 -8 -11 -9 -13 -10 -14 -10 -16 -10 -16 -10 -16 -9 -14 -8 -13 -6 -11 -3 -9 -1 -8 2 -7 4 -6 7 -6 8 -5 9 -5 10 0 0 0 0 0 0 0 0 0 0,empty
2026-05-10 12:09:00.551,2,5212516933,-48,0 0 0 0 0 0 0 0 0 0 0 0 -7 -1 -7 -3 -7 -5 -7 -7 -7 -9 -7 -10 -8 -11 -9 -12 -10 -12 -11 -12 -12 -11 -12 -11 -12 -10 -11 -9 -10 -8 -9 -8 -8 -8 -6 -9 -6 -10 -5 -11 -5 -12 -5 -13 -6 -13 -7 -14 -9 -14 -10 -13 0 0 -11 -12 -11 -10 -10 -9 -9 -9 -8 -8 -8 -8 -7 -9 -7 -9 -7 -10 -8 -11 -8 -12 -9 -11 -10 -11 -11 -11 -11 -10 -11 -8 -11 -8 -10 -7 -9 -7 -8 -7 -7 -7 -5 -7 -4 -8 -4 -9 -3 -9 -2 -10 0 0 0 0 0 0 0 0 0 0,empty
2026-05-10 12:09:00.551,1,5126759319,-54,0 0 -8 4 -11 5 -15 7 -17 9 -19 10 -20 12 -20 13 -19 14 -18 14 -16 14 -14 12 -12 10 -10 6 -9 3 -7 0 -7 -4 -6 -8 -6 -11 -6 -13 -6 -16 -6 -18 -5 -19 -5 -19 -4 -19 -2 -18 -1 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -12 4 -12 4 -12 3 -11 3 -9 3 -8 2 -5 2 -3 2 0 2 2 2 5 3 8 4 10 5 12 7 13 8 14 10 13 12 13 13 12 13 10 13 8 12 7 10 5 8 4 4 3 0 3,empty
2026-05-10 12:09:00.551,1,5126759461,-54,0 0 8 0 12 0 15 1 18 1 20 0 22 0 23 -1 23 -3 22 -3 21 -4 19 -4 16 -4 13 -2 10 0 7 1 5 4 2 6 0 9 -1 12 -3 13 -5 15 -6 16 -7 17 -8 17 -9 16 -10 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 7 -9 7 -9 6 -8 5 -7 4 -5 2 -4 0 -2 -1 -1 -4 0 -6 1 -9 2 -11 2 -13 2 -15 1 -16 0 -18 -2 -18 -4 -18 -5 -18 -6 -16 -7 -14 -6 -13 -6 -10 -5 -8 -2 -6 1 -4,empty
2026-05-10 12:09:00.551,1,5126759621,-54,0 0 -6 -5 -8 -8 -11 -11 -12 -13 -15 -13 -16 -14 -18 -14 -18 -13 -18 -12 -18 -11 -16 -10 -14 -8 -11 -7 -8 -7 -5 -6 -2 -6 2 -7 4 -8 7 -9 10 -9 12 -9 13 -9 14 -9 15 -9 15 -7 15 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 10 0 9 0 8 0 6 0 5 1 2 1 0 1 -2 2 -5 3 -7 4 -8 5 -10 6 -11 8 -11 10 -11 11 -10 13 -9 13 -8 14 -6 14 -5 13 -3 11 -3 9 -2 7 -2 4 -3 1,empty
